#ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	98	0.324018164112871	1.83830707124598	0.000975248440259004	0.0106429286306526	0.00843578742375065	1504	tags=71%, list=47%, signal=39%	55769/811/27300/90233/6732/7644/5819/9534/7678/440515/7594/170959/55422/255403/3105/6885/339500/2923/6892/81856/9310/374900/90987/730051/7617/5296/170960/5451/147923/199777/598/54807/91661/163227/284459/163131/84914/100289678/54811/57506/148206/284349/9831/22835/7711/84527/84765/147660/57711/9668/57209/90338/3107/147657/84436/390927/10781/7694/7574/92285/581/342892/6428/442319/57677/162963/51710/7157/91120/5610
hsa04512	ECM-receptor interaction	12	0.634448061232961	2.01559173406314	0.00143426266130201	0.0149999969994502	0.0118892825871088	637	tags=58%, list=20%, signal=47%	5649/7448/80144/948/255743/3655/1280
hsa00230	Purine metabolism	23	-0.533650259639517	-1.9650049784581	0.00187777325969441	0.0187340194006402	0.0148489396801048	359	tags=39%, list=11%, signal=35%	107/5167/5236/50940/132/9060/7498/9615/27115
hsa00270	Cysteine and methionine metabolism	20	-0.542691163805171	-1.94410889852336	0.00194057571480735	0.0187340194006402	0.0148489396801048	333	tags=35%, list=10%, signal=32%	4143/23743/2805/1491/10993/6898/635
hsa00280	Valine, leucine and isoleucine degradation	13	-0.624490144463763	-1.99096138364633	0.00217512653464607	0.020220620748006	0.0160272481500236	894	tags=92%, list=28%, signal=67%	10449/4329/3032/36/34/64902/1962/38/3158/594/5095/316
hsa00010	Glycolysis / Gluconeogenesis	13	-0.614109075812224	-1.95786509383387	0.00291783838792624	0.0261563369774817	0.0207320095984233	320	tags=62%, list=10%, signal=56%	3945/130/5236/125/229/2203/127/5105
hsa00220	Arginine biosynthesis	12	-0.616455781994541	-1.90042779989672	0.00350212387755237	0.0293011031088548	0.0232246109774525	183	tags=50%, list=6%, signal=47%	435/2805/383/84706/1373/445
hsa00120	Primary bile acid biosynthesis	10	-0.665591183845987	-1.89746588133099	0.00345497990227762	0.0293011031088548	0.0232246109774525	937	tags=90%, list=29%, signal=64%	1582/8309/1109/51302/3295/10998/9420/6342/570
hsa05322	Systemic lupus erythematosus	12	-0.603643728962563	-1.86093043047155	0.00458429464335358	0.0371179985639274	0.0294204308181266	283	tags=50%, list=9%, signal=46%	727/715/732/729/731/735
hsa04910	Insulin signaling pathway	36	-0.41430753867786	-1.75678338156889	0.00508533071702171	0.0398880628116391	0.0316160363656942	217	tags=33%, list=7%, signal=31%	5140/79660/5295/5604/10580/2998/32/2203/10891/51422/5105/2308
hsa04918	Thyroid hormone synthesis	19	0.524713473244055	1.94695631975981	0.00625017199982889	0.0447205953877725	0.03544639349251	1160	tags=84%, list=36%, signal=54%	23236/433/821/9601/7184/2778/1388/3309/6906/64764/1385/468/476/5578/7276/481
hsa00620	Pyruvate metabolism	15	-0.578779821441716	-1.90070669948381	0.00641410929864467	0.0447205953877725	0.03544639349251	687	tags=60%, list=21%, signal=47%	5091/3945/130/98/38/125/32/127/5105
hsa04931	Insulin resistance	29	-0.454911735386683	-1.79037029846243	0.00636976336014984	0.0447205953877725	0.03544639349251	269	tags=41%, list=8%, signal=38%	79660/5295/10998/5465/6774/2998/11001/32/10891/51422/5105/2308
hsa05207	Chemical carcinogenesis - receptor activation	49	-0.368898507756638	-1.71359735334157	0.00623053496117853	0.0447205953877725	0.03544639349251	498	tags=33%, list=16%, signal=28%	1137/5295/2353/5604/7366/107/9970/5465/3320/2053/367/6774/1956/1576/2099/1555
hsa05110	Vibrio cholerae infection	16	0.540335927091442	1.8802446167984	0.00681604333966012	0.0462385642771538	0.0366495644721412	1154	tags=81%, list=36%, signal=52%	60/71/9601/2778/375/11014/10945/537/10312/5335/5578/527/29927
