#category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	23/453	88/8840	4.73401522675954e-11	1.43440661370814e-08	1.15609635011391e-08	735/731/729/5054/5340/1361/10878/732/5627/2160/715/2158/2266/727/2153/3818/722/3075/710/10877/3080/716/10747	23
Metabolism	Amino acid metabolism	hsa00220	Arginine biosynthesis	8/453	23/8840	1.10818185749566e-05	0.000248950946722339	0.000200648322527645	445/1373/84706/383/2805/435/27165/5009	8
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	14/453	71/8840	1.15026840069728e-05	0.000248950946722339	0.000200648322527645	1558/1576/1559/1557/1562/1577/1549/64816/1548/1571/6822/3290/7366/9	14
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	19/453	122/8840	1.26511213516187e-05	0.000255552651302697	0.000205969133584248	148/2308/5105/51422/10891/2203/5207/32/3953/5520/3479/2309/2998/79602/5295/5519/23216/5516/5209	19
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	12/453	57/8840	2.43531337043792e-05	0.00046118746952668	0.000371705724961577	2180/6342/79071/38/1962/51703/84869/33/3295/51/34/36	12
Metabolism	Amino acid metabolism	hsa00350	Tyrosine metabolism	9/453	36/8840	6.13213498149955e-05	0.00109296288199668	0.000880901124277335	6898/127/3242/316/3081/2805/125/4129/130	9
Metabolism	Global and overview maps	hsa01240	Biosynthesis of cofactors	20/453	153/8840	0.00010028140808847	0.00168807036948924	0.00136054308049854	10243/8564/3242/6999/211/2643/6470/169355/9104/7360/441024/4522/4143/7366/8630/1503/53354/8942/5805/2356	20
Human Diseases	Endocrine and metabolic disease	hsa04936	Alcoholic liver disease	19/453	144/8840	0.000131389154934335	0.00209531126026861	0.00168876919361583	2308/51422/127/10891/32/2309/125/1571/3929/4217/2920/5465/727/79602/9663/130/23175/51/34	19
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	13/453	79/8840	0.000167866642298952	0.00254317963082912	0.00204974005333457	1555/1576/1559/127/1577/1549/1548/125/1571/6822/3290/7366/130	13
Metabolism	Xenobiotics biodegradation and metabolism	hsa00983	Drug metabolism - other enzymes	13/453	81/8840	0.000217449742392355	0.00313748914023255	0.00252873885889857	1576/51733/1549/7498/1548/1807/1571/7366/1806/978/151531/9/8824	13
Organismal Systems	Environmental adaptation	hsa04710	Circadian rhythm	8/453	34/8840	0.00024925959418393	0.00343298441080595	0.00276690075840535	51422/6095/8863/1408/5187/1407/6097/4862	8
Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	11/453	62/8840	0.000268255108109522	0.00353396946770371	0.00284829222340546	1576/1577/6716/6715/1571/3290/9420/7366/8630/51478/1109	11
Metabolism	Metabolism of cofactors and vitamins	hsa00770	Pantothenate and CoA biosynthesis	6/453	21/8840	0.000491656303331838	0.00620716082956446	0.00500281852513099	51733/1807/8876/5167/1806/53354	6
Metabolism	Carbohydrate metabolism	hsa00620	Pyruvate metabolism	9/453	47/8840	0.000537236320300645	0.00651130420204382	0.00524795058146314	5105/127/32/125/38/98/130/3945/5091	9
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	9/453	48/8840	0.000631805980099481	0.00736296969115934	0.00593437195882914	316/5095/594/3158/38/1962/64902/34/36	9
Organismal Systems	Endocrine system	hsa04920	Adipocytokine signaling pathway	11/453	70/8840	0.000789258680834952	0.00831845125095158	0.00670446652847235	5105/2180/51422/10891/32/3953/6774/5465/51703/79602/7133	11
Metabolism	Carbohydrate metabolism	hsa00030	Pentose phosphate pathway	7/453	31/8840	0.000796155400256092	0.00831845125095158	0.00670446652847235	2203/229/9104/5236/51071/9563/64080	7
Metabolism	Carbohydrate metabolism	hsa00630	Glyoxylate and dicarboxylate metabolism	7/453	31/8840	0.000796155400256092	0.00831845125095158	0.00670446652847235	5095/54363/6470/51179/38/48/847	7
Metabolism	Amino acid metabolism	hsa00360	Phenylalanine metabolism	5/453	16/8840	0.000942739850412443	0.00923033930248703	0.0074394258057217	6898/3242/2805/5053/4129	5
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	8/453	41/8840	0.000956859413484144	0.00923033930248703	0.0074394258057217	635/10993/1491/211/6470/29958/4129/64902	8
Metabolism	Carbohydrate metabolism	hsa00640	Propanoate metabolism	7/453	32/8840	0.000974821312473877	0.00923033930248703	0.0074394258057217	32/5095/594/8801/1962/3945/51	7
Environmental Information Processing	Signal transduction	hsa04068	FoxO signaling pathway	16/453	132/8840	0.00112566821403079	0.0102992061512343	0.00830090612154372	2308/5105/51422/3479/1956/2309/6774/9455/10912/5604/5295/6648/23710/847/1647/80854	16
Metabolism	Amino acid metabolism	hsa00270	Cysteine and methionine metabolism	9/453	52/8840	0.00115568649881837	0.0102992061512343	0.00830090612154372	635/6898/10993/1491/2805/23743/4143/3945/64902	9
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	10/453	65/8840	0.00159907699187093	0.0138434379581969	0.0111574695372648	116255/8613/11343/84803/9388/9663/8611/23175/80339/26007	10
Metabolism	Carbohydrate metabolism	hsa00650	Butanoate metabolism	6/453	27/8840	0.00206450219809745	0.0169065990817169	0.0136263018480401	348158/123876/3158/54988/38/1962	6
Metabolism	Metabolism of cofactors and vitamins	hsa00790	Folate biosynthesis	6/453	27/8840	0.00206450219809745	0.0169065990817169	0.0136263018480401	10243/2643/5053/55034/5805/2356	6
Metabolism	Amino acid metabolism	hsa00250	Alanine, aspartate and glutamate metabolism	7/453	37/8840	0.00238948578680355	0.0190530050895125	0.0153562521478788	445/1373/84706/2805/435/64902/27165	7
Metabolism	Metabolism of cofactors and vitamins	hsa00670	One carbon pool by folate	5/453	20/8840	0.00282313684839664	0.0219336016683124	0.017677941938678	10840/6470/441024/4522/10588	5
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	9/453	61/8840	0.00362493741770605	0.0274589009391233	0.0221311968659948	1558/1555/1559/1557/1571/2053/3248/22949/4051	9
Metabolism	Carbohydrate metabolism	hsa00500	Starch and sucrose metabolism	7/453	40/8840	0.00379039016492572	0.0280119078042072	0.0225769067589928	2632/2998/7360/5236/5167/2595/178	7
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	8/453	51/8840	0.00407408968804841	0.0293916470352064	0.0236889425470484	8647/64240/64241/3949/51129/4018/9388/19	8
Cellular Processes	Cell growth and death	hsa04216	Ferroptosis	7/453	42/8840	0.00502250616400727	0.0353911480859117	0.028524392412477	2180/1356/23516/51703/55240/64116/6303	7
Organismal Systems	Digestive system	hsa04975	Fat digestion and absorption	7/453	43/8840	0.00574100380564171	0.0395346398433963	0.031863944567198	8613/38/64240/64241/4547/8611/19	7
Metabolism	Global and overview maps	hsa01210	2-Oxocarboxylic acid metabolism	6/453	33/8840	0.00595615052510466	0.0401047468690381	0.0323234367678195	84706/2805/594/55526/48/64902	6
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	20/453	216/8840	0.00741539673942354	0.0477746663084253	0.0385052026526131	1558/1555/1559/1549/1548/2081/3929/6774/4217/3320/2920/3949/2353/5295/6648/4780/3725/19/8795/22926	20
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	10/453	80/8840	0.00743220871021455	0.0477746663084253	0.0385052026526131	3479/1956/2309/6774/3570/3084/5604/5295/3716/56034	10
Metabolism	Metabolism of other amino acids	hsa00430	Taurine and hypotaurine metabolism	4/453	16/8840	0.00756826396965153	0.0477746663084253	0.0385052026526131	570/2328/2329/2330	4
