#gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	ENTREZID
PAG1	0	0.946426597055878	0.359	0.095	0	55824
CASC19	7.12555757829448e-205	0.946332689374428	0.213	0.124	2.42454222159048e-200	103021165
CRIM1	0	0.937799738480624	0.304	0.076	0	51232
PCSK5	0	0.926472768005411	0.297	0.058	0	5125
NEDD9	0	0.918778148049687	0.26	0.079	0	4739
MAP4K4	0	0.904586135180694	0.579	0.429	0	9448
PHYHIPL	0	0.900111679348531	0.273	0.047	0	84457
LINC02315	0	0.870673093405518	0.219	0.068	0	644919
RPL28	0	0.864303637315402	0.381	0.182	0	6158
NPSR1-AS1	0	0.863739417412661	0.209	0.054	0	404744
STXBP6	0	0.856780236218279	0.339	0.101	0	29091
SLC13A3	0	0.853928504560247	0.341	0.086	0	64849
LINC02055	0	0.847763201889807	0.233	0.077	0	107986980
CASC9	0	0.843515506725102	0.23	0.033	0	101805492
SYN3	0	0.843445000322493	0.246	0.074	0	8224
PRAG1	0	0.832222899825644	0.294	0.057	0	157285
WWTR1	0	0.829804021717587	0.358	0.16	0	25937
ZNRF3	0	0.818841196234199	0.604	0.349	0	84133
CHD7	0	0.811847599193408	0.5	0.248	0	55636
GALNT18	0	0.809492866395665	0.345	0.175	0	374378
CNTNAP3B	0	0.80909499476998	0.264	0.034	0	728577
CHST15	0	0.804403842868486	0.312	0.083	0	51363
LUCAT1	0	0.802093804487188	0.215	0.026	0	100505994
DLG5	0	0.80197032020767	0.34	0.112	0	9231
KCNQ1OT1	0	0.801341986606417	0.436	0.186	0	10984
RPS19	0	0.79628476203462	0.382	0.191	0	6223
PTPN14	0	0.789644291445093	0.273	0.042	0	5784
NRCAM	0	0.785686030184507	0.222	0.023	0	4897
SMYD3	0	0.783347014219838	0.746	0.534	0	64754
GGH	0	0.783216669320572	0.243	0.066	0	8836
PRKN	0	0.782794095368098	0.72	0.483	0	5071
LINC01446	0	0.779190986541353	0.276	0.066	0	401337
CARD18	0	0.77338782918558	0.18	0.05	0	59082
LINC02267	0	0.771921999304451	0.154	0.021	0	105377338
ITPR2	0	0.763415767699878	0.914	0.876	0	3709
CASK	0	0.761626513170038	0.531	0.256	0	8573
RASAL2	0	0.751851511086416	0.603	0.312	0	9462
TEX41	0	0.749682057059243	0.317	0.106	0	401014
SUCO	0	0.749306442613006	0.384	0.136	0	51430
TRPS1	0	0.745692854132072	0.264	0.104	0	7227
LINC01344	0	0.745140757648568	0.55	0.409	0	400799
SMYD2	0	0.740755573539509	0.361	0.127	0	56950
ATP1B1	0	0.738094047508466	0.443	0.224	0	481
ITGAV	0	0.733340621470174	0.316	0.105	0	3685
NSMCE2	0	0.729178686300024	0.74	0.512	0	286053
NRP1	0	0.727293826377228	0.467	0.221	0	8829
NRXN3	0	0.726259828242164	0.256	0.093	0	9369
EIF3E	0	0.7258440079716	0.469	0.221	0	3646
NOTUM	0	0.725199878277696	0.242	0.068	0	147111
CTNND2	0	0.725169605803317	0.316	0.129	0	1501
RNLS	6.45743600402496e-268	0.724461671951695	0.275	0.157	2.19720717472953e-263	55328
PRICKLE2	0	0.720545141865785	0.237	0.049	0	166336
RPLP1	0	0.713389225387068	0.389	0.196	0	6176
TPM2	0	0.712334769976485	0.279	0.063	0	7169
AKR1C3	0	0.709882851335528	0.347	0.121	0	8644
RPL13A	0	0.705124948749764	0.395	0.197	0	23521
FTH1	0	0.705021461906395	0.408	0.192	0	2495
CTNNA2	0	0.704950870116641	0.271	0.091	0	1496
CDH9	0	0.704594187917473	0.137	0.016	0	1007
TTPA	0	0.703374529287343	0.507	0.36	0	7274
IGF2BP3	0	0.702171692530118	0.216	0.04	0	10643
SOX4	0	0.701714669599616	0.163	0.013	0	6659
TXNRD1	0	0.69992595861489	0.405	0.172	0	7296
XPR1	0	0.6958776908095	0.462	0.225	0	9213
ACSS3	0	0.693036149239574	0.623	0.39	0	79611
ATAD2	0	0.692675849285682	0.542	0.301	0	29028
TMEM178B	0	0.691870439543538	0.212	0.042	0	100507421
NR2F1-AS1	0	0.691748943650466	0.215	0.024	0	441094
DNAH14	0	0.691514310136238	0.645	0.401	0	127602
ARID5B	0	0.691362352649522	0.401	0.168	0	84159
TBX3	0	0.690397557179099	0.305	0.104	0	6926
VPS13B	0	0.686728066620415	0.757	0.558	0	157680
LHFPL2	0	0.685238677461083	0.25	0.044	0	10184
RPL18	0	0.683838273797207	0.293	0.118	0	6141
LINC01876	0	0.683193465777412	0.54	0.344	0	101929378
RGL1	0	0.68115217868034	0.267	0.116	0	23179
RASEF	0	0.681060246054645	0.231	0.037	0	158158
TOR1AIP2	0	0.680010471014766	0.536	0.35	0	163590
LYPLAL1	0	0.67995686568962	0.456	0.232	0	127018
SPP1	0	0.677743975476327	0.122	0.011	0	6696
APOE	0	0.677401214901014	0.604	0.433	0	348
TMEM182	0	0.676727602992992	0.148	0.029	0	130827
TMEM132D	0	0.674566891917373	0.159	0.032	0	121256
SOBP	0	0.67255651219781	0.228	0.073	0	55084
MDGA2	0	0.670639097804029	0.154	0.026	0	161357
ALCAM	0	0.670292121486628	0.692	0.5	0	214
GREB1	0	0.670078668333678	0.293	0.103	0	9687
ME1	0	0.669927945999105	0.282	0.083	0	4199
NIPAL2	0	0.669333239546718	0.268	0.09	0	79815
UBR5	0	0.667334379351641	0.697	0.473	0	51366
EPHB2	0	0.665508592705627	0.175	0.017	0	2048
MIF	0	0.663792022541217	0.235	0.065	0	4282
RPLP0	0	0.661454823475437	0.297	0.116	0	6175
PABPC1	0	0.658841642452791	0.461	0.235	0	26986
NCOA2	0	0.658829799770369	0.837	0.741	0	10499
CDK6	0	0.658552227979859	0.49	0.275	0	1021
CCDC170	0	0.657736391472443	0.251	0.071	0	80129
AKR1B10	0	0.655219554714731	0.162	0.014	0	57016
OSBPL3	0	0.639322068506042	0.208	0.039	0	26031
ROBO2	0	0.637640640763255	0.192	0.069	0	6092
GRID1	0	0.631283261173981	0.202	0.08	0	2894
UBAP2	0	0.629144723332641	0.387	0.227	0	55833
RPLP2	0	0.628924243311271	0.273	0.098	0	6181
RPL35	0	0.628350961887295	0.28	0.123	0	11224
C1orf21	0	0.622842049667288	0.281	0.117	0	81563
ZSWIM5	0	0.622362261247531	0.306	0.096	0	57643
SEMA6D	0	0.622241852891689	0.228	0.105	0	80031
EEF1D	0	0.618969565337006	0.438	0.196	0	1936
TACC1	0	0.618949738424892	0.39	0.223	0	6867
YWHAZ	0	0.618068655511997	0.387	0.155	0	7534
FAT1	0	0.617378824508985	0.365	0.191	0	2195
AMACR	0	0.616606840564201	0.325	0.173	0	23600
AHR	0	0.615378435499083	0.601	0.383	0	196
HS6ST2	0	0.61421208547003	0.129	0.012	0	90161
RPS20	0	0.613226831115307	0.257	0.095	0	6224
RPSA	0	0.612724485614005	0.245	0.086	0	3921
SGCE	0	0.608652491496238	0.231	0.046	0	8910
ARHGAP44	0	0.604821315111731	0.116	0.022	0	9912
SPARCL1	0	0.604753986001523	0.163	0.02	0	8404
LINC01151	2.04177311666947e-294	0.602234356224391	0.324	0.187	6.94733720677955e-290	104266958
MTDH	0	0.601301135095794	0.573	0.362	0	92140
PRKD1	0	0.60129286603692	0.221	0.095	0	5587
GABRG3	0	0.601168201999821	0.125	0.024	0	2567
HELLPAR	0	0.600578568803235	0.22	0.078	0	101101692
FTX	0	0.600030420797838	0.871	0.797	0	100302692
STAU2	0	0.599649388647775	0.652	0.442	0	27067
IGF1R	0	0.599560391029598	0.113	0.022	0	3480
ZNF83	0	0.594721115309677	0.235	0.052	0	55769
RPL13	0	0.594166596224981	0.43	0.252	0	6137
USP9Y	1.36355428972858e-37	0.591527672604427	0.256	0.21	4.63962982623046e-33	8287
CSPP1	0	0.591445784562662	0.495	0.275	0	79848
LINC01414	0	0.590547556882287	0.136	0.019	0	102724623
SPOCK1	0	0.589391512167302	0.125	0.028	0	6695
ZBTB38	0	0.588074550310414	0.337	0.129	0	253461
PTPRG	0	0.587900379198843	0.811	0.676	0	5793
ZSCAN31	0	0.586533185941323	0.131	0.016	0	64288
EGLN1	0	0.585486470756034	0.365	0.206	0	54583
ROCK2	0	0.584256071701582	0.638	0.411	0	9475
CACNB4	0	0.58088279682716	0.15	0.033	0	785
MTR	0	0.580062580245595	0.475	0.242	0	4548
ATRNL1	0	0.57904490903097	0.206	0.07	0	26033
LINC01748	0	0.578814039903163	0.159	0.012	0	105378763
COX7B2	0	0.575009392136691	0.149	0.043	0	170712
PRRC2B	0	0.573164370156128	0.513	0.338	0	84726
UGDH	0	0.573061258994912	0.386	0.211	0	7358
SGCZ	9.57949300998913e-228	0.569951896180529	0.137	0.056	3.2595182915789e-223	137868
RPL7A	0	0.569511362433215	0.244	0.095	0	6130
AFF2	0	0.569250702687449	0.136	0.009	0	2334
TMSB10	0	0.567715920482838	0.159	0.032	0	9168
TRAPPC9	0	0.567611548832819	0.654	0.438	0	83696
LINC02607	0	0.566550150833406	0.14	0.028	0	100996635
CADM2	0	0.566288949580328	0.148	0.04	0	253559
SIPA1L2	0	0.565530188215273	0.263	0.079	0	57568
RPL10	0	0.5652415581541	0.346	0.17	0	6134
RPS11	0	0.562400563615149	0.268	0.1	0	6205
RPS6KC1	0	0.557762380685491	0.503	0.287	0	26750
ST3GAL1	0	0.556155444378202	0.43	0.234	0	6482
SLC7A11	0	0.555271494124625	0.136	0.012	0	23657
PRKDC	0	0.550282630621998	0.459	0.24	0	5591
RPL30	0	0.54986885092318	0.233	0.09	0	6156
CD46	0	0.548111135721482	0.507	0.307	0	4179
RMST	0	0.547729413868845	0.14	0.013	0	196475
EIF3H	0	0.545054571299842	0.414	0.198	0	8667
ITGA6	0	0.544969349545086	0.307	0.115	0	3655
RPS28	0	0.544375792526604	0.325	0.175	0	6234
AUTS2	0	0.544255160876975	0.676	0.496	0	26053
RPS18	0	0.539609905231859	0.308	0.143	0	6222
WNK2	0	0.539097041840758	0.166	0.024	0	65268
MDGA1	0	0.537141485248854	0.113	0.01	0	266727
PDE7A	0	0.536878696114976	0.259	0.084	0	5150
RPL18A	0	0.536608523181752	0.228	0.082	0	6142
LINC02542	0	0.533247055602549	0.448	0.227	0	102724168
HEXA	0	0.532335849031657	0.293	0.124	0	3073
RNF213	0	0.532248415737306	0.574	0.349	0	57674
LINC02456	0	0.529978470427518	0.168	0.054	0	105369942
PIAS1	5.75840216855525e-265	0.528755810460795	0.553	0.411	1.95935392187261e-260	8554
MPP7	0	0.528705514059576	0.203	0.054	0	143098
MIR4435-2HG	0	0.528408271244601	0.226	0.057	0	541471
GREM2	3.44834714067378e-05	0.52719297336319	0.387	0.388	1	64388
UTRN	0	0.525857158318584	0.648	0.501	0	7402
ASPSCR1	0	0.522706990925988	0.412	0.226	0	79058
STK33	0	0.522676849171771	0.152	0.024	0	65975
MAML2	0	0.521201059237234	0.182	0.059	0	84441
IQCH	0	0.519971127923986	0.22	0.086	0	64799
PIEZO2	0	0.51981790215811	0.534	0.311	0	63895
SLC38A11	0	0.519752057449946	0.152	0.044	0	151258
ACBD6	0	0.519440900774613	0.479	0.259	0	84320
ARHGAP12	0	0.518315366554611	0.517	0.309	0	94134
RPS5	0	0.518197466645578	0.24	0.089	0	6193
LINC01515	0	0.518150465433026	0.446	0.282	0	101928913
FAM171A1	0	0.51745553390324	0.294	0.118	0	221061
TMEM65	0	0.517244308254145	0.226	0.069	0	157378
CNTNAP3	0	0.516013058836623	0.133	0.012	0	79937
TBC1D4	0	0.514661694537612	0.33	0.176	0	9882
MIR646HG	1.09631769316931e-159	0.514396603623181	0.247	0.155	3.73033058277789e-155	284757
TRAM1	0	0.514180668019529	0.28	0.103	0	23471
ONECUT2	0	0.513704309622412	0.436	0.239	0	9480
MIPOL1	0	0.513259932655441	0.384	0.195	0	145282
SLC22A23	0	0.512075052516084	0.607	0.397	0	63027
FAM169A	0	0.511458006245733	0.235	0.111	0	26049
GAPDH	0	0.509652356131298	0.274	0.118	0	2597
FMO5	1.27336230891132e-45	0.508700095965703	0.792	0.733	4.33274259230167e-41	2330
PITPNC1	2.2943691176269e-241	0.506404025898447	0.506	0.361	7.80682035963729e-237	26207
SYNJ2	0	0.504915663552885	0.25	0.094	0	8871
TGFB2	0	0.504008562356788	0.107	0.011	0	7042
MCU	0	0.503872986044365	0.313	0.133	0	90550
PTBP3	0	0.503137496605254	0.379	0.2	0	9991
PI15	0	0.502029574179215	0.105	0.008	0	51050
B3GALNT2	0	0.501016551031219	0.295	0.126	0	148789
IFITM3	0	0.500889900060258	0.211	0.094	0	10410
TKT	0	0.500209410296889	0.205	0.041	0	7086
TNFRSF21	0	0.499992556532736	0.159	0.02	0	27242
LINC01967	0	0.499432270072536	0.133	0.01	0	107986041
LINC01194	0	0.499368856442028	0.126	0.03	0	404663
FAM172A	0	0.499308342048434	0.637	0.451	0	83989
SPIDR	0	0.498819012447466	0.643	0.46	0	23514
PRLR	0	0.497530635167411	0.415	0.251	0	5618
CD163L1	0	0.49536724051634	0.106	0.013	0	283316
H19	4.03474106834428e-98	0.495206380534617	0.229	0.153	1.37286099591483e-93	283120
NEDD4L	0	0.494798237309585	0.633	0.439	0	23327
TARBP1	0	0.494328781119805	0.375	0.169	0	6894
EEF1A1	2.27058038803796e-306	0.494098600991682	0.424	0.268	7.72587682833796e-302	1915
GPX2	0	0.493987220759853	0.146	0.023	0	2877
GNG4	0	0.492789396759378	0.135	0.021	0	2786
SPATS2	0	0.492638366558263	0.341	0.141	0	65244
CNTNAP2	1.75856182522433e-171	0.490985845961341	0.202	0.114	5.98368246650832e-167	26047
RPS15	0	0.490402314260182	0.229	0.1	0	6209
RPS27A	0	0.489527818822892	0.229	0.094	0	6233
KIAA1217	2.52824199519409e-285	0.48545358334071	0.453	0.305	8.60259621284741e-281	56243
RPL37	0	0.485071322854449	0.303	0.146	0	6167
LRRC1	0	0.483687630510021	0.193	0.041	0	55227
SMAD3	0	0.483250205779842	0.564	0.362	0	4088
ARFGEF1	0	0.48313030933517	0.504	0.308	0	10565
NAP1L1	0	0.482701183206397	0.301	0.117	0	4673
RPS21	0	0.481310754134936	0.181	0.058	0	6227
MIR548XHG	0	0.479616861290148	0.122	0.034	0	101927797
PIR	0	0.47959542094028	0.25	0.107	0	8544
OGT	0	0.479269626883299	0.413	0.209	0	8473
ATP6V1C1	0	0.479059799689399	0.357	0.165	0	528
ANKRD29	0	0.478553241720854	0.163	0.048	0	147463
ANK3	0	0.47804327266549	0.156	0.046	0	288
BCL2L1	0	0.476209387835649	0.402	0.2	0	598
RPS4X	0	0.475818291844566	0.198	0.06	0	6191
RPS27	0	0.475750141467922	0.278	0.135	0	6232
ACTG1	0	0.475231949591618	0.228	0.091	0	71
APBB2	5.16267550441877e-276	0.47431301732305	0.672	0.528	1.75665196713353e-271	323
RPL7	0	0.473506322136918	0.209	0.064	0	6129
AXIN2	0	0.473106619953423	0.157	0.029	0	8313
FHIT	0	0.472377686567712	0.908	0.839	0	2272
SOS1	5.41773610231394e-271	0.471701810142454	0.536	0.376	1.84343888617334e-266	6654
ZC3HAV1	2.68290769811577e-194	0.471063623471928	0.199	0.107	9.12886173360871e-190	56829
GMDS	6.13353191557819e-147	0.470672036989098	0.557	0.437	2.08699556959463e-142	2762
THSD7A	0	0.469145411821736	0.208	0.09	0	221981
SLC4A7	0	0.468007627761036	0.204	0.071	0	9497
PTMA	0	0.467637920950324	0.323	0.162	0	5757
TPR	0	0.46747460587467	0.506	0.279	0	7175
TSPAN5	0	0.466589209812549	0.165	0.043	0	10098
PRAP1	0	0.465615218289217	0.186	0.056	0	118471
NBEA	0	0.46509130814379	0.188	0.049	0	26960
SLC38A1	0	0.464131932261307	0.231	0.066	0	81539
ITGA2	0	0.463678628514877	0.129	0.012	0	3673
AFF3	1.64849003028882e-297	0.463167058549657	0.484	0.32	5.60915217706075e-293	3899
LAMP2	0	0.463058078684333	0.268	0.114	0	3920
PACRG	5.86552360222232e-201	0.462624931969492	0.314	0.197	1.99580306089217e-196	135138
FGF13	0	0.462249734978659	0.313	0.113	0	2258
PCMTD1	0	0.461558250899635	0.415	0.228	0	115294
PIP4K2A	0	0.461159930109638	0.367	0.176	0	5305
TRIM24	0	0.459570761705206	0.499	0.32	0	8805
CD74	0	0.45908362718443	0.128	0.032	0	972
LINC00923	0	0.458410056512079	0.197	0.076	0	91948
TSPAN8	0	0.458265309767967	0.148	0.033	0	7103
RPS24	0	0.456550251583364	0.314	0.154	0	6229
RPS2	0	0.45479985641476	0.251	0.114	0	6187
TIAM2	0	0.454713005116363	0.35	0.178	0	26230
NEBL	3.24131991629412e-226	0.454603319071949	0.211	0.109	1.10289151471824e-221	10529
RAD21	0	0.45447330999857	0.258	0.09	0	5885
SPON2	0	0.45366839698197	0.371	0.211	0	10417
MPPED2	0	0.453085239536165	0.129	0.016	0	744
PTPN12	0	0.452301414482439	0.357	0.169	0	5782
ZMYND8	0	0.451276999094373	0.452	0.256	0	23613
FHOD3	0	0.450931706303063	0.13	0.021	0	80206
RPL27A	0	0.448544092946972	0.257	0.115	0	6157
FBXO32	0	0.448290965916962	0.119	0.021	0	114907
LINC02484	2.98063527519154e-94	0.448287299899039	0.429	0.347	1.01419095873667e-89	105374394
RPS3	0	0.447728965640732	0.226	0.093	0	6188
ACACA	0	0.447713507062243	0.554	0.365	0	31
LINC01169	0	0.446616143268172	0.183	0.061	0	102723165
ELOVL2	0	0.446485778624592	0.354	0.196	0	54898
RPL29	0	0.446466320306647	0.209	0.082	0	6159
ASAP2	0	0.446318497539639	0.186	0.049	0	8853
MAP3K8	0	0.44464894505398	0.172	0.045	0	1326
ACTB	0	0.443931829237404	0.372	0.208	0	60
CELF6	0	0.443802696737946	0.128	0.029	0	60677
AKR1C1	6.19280148269423e-304	0.443503510474147	0.436	0.273	2.10716263250154e-299	1645
CNTNAP4	0	0.442979751560224	0.165	0.042	0	85445
SPECC1	0	0.441728010405148	0.139	0.028	0	92521
TMEM164	0	0.440988332239612	0.181	0.048	0	84187
KLHL5	0	0.440980598463248	0.368	0.197	0	51088
TPD52	2.57675474561923e-256	0.440923860033936	0.379	0.244	8.76766569744399e-252	7163
RPS6KA3	0	0.440460551649337	0.519	0.329	0	6197
KIAA1549	0	0.439576492409	0.176	0.04	0	57670
GABRE	0	0.439108995201748	0.202	0.05	0	2564
ABCB5	0	0.439071882205722	0.117	0.016	0	340273
MERTK	2.18401495237429e-210	0.439033889139355	0.327	0.211	7.43132927694876e-206	10461
GRIP1	0	0.438789007403663	0.101	0.022	0	23426
SPATA5	3.49174662642245e-241	0.438733107311126	0.403	0.266	1.1881017071065e-236	166378
PHACTR2	0	0.436532703203434	0.355	0.188	0	9749
LINC00511	0	0.435684547635671	0.116	0.032	0	400619
BICD1	0	0.435493784834995	0.205	0.072	0	636
AGO2	0	0.434973702332947	0.379	0.185	0	27161
PPARG	0	0.433431293426908	0.426	0.239	0	5468
EFR3A	0	0.43283397168279	0.492	0.32	0	23167
DHRS2	9.22258356494282e-248	0.432675450837819	0.131	0.05	3.13807628380745e-243	10202
SERF2	0	0.432252237160049	0.26	0.123	0	10169
ADAMTS6	0	0.431438219845713	0.136	0.033	0	11174
RPL3	4.51083120198309e-295	0.431093058735207	0.327	0.187	1.53485542478677e-290	6122
CAMSAP2	0	0.430788467652862	0.296	0.13	0	23271
LAPTM4B	0	0.430015708905254	0.21	0.053	0	55353
JAK1	2.18834987624458e-245	0.428934219813037	0.613	0.467	7.4460792889098e-241	3716
RPS12	0	0.428850546018898	0.251	0.119	0	6206
TCF4	5.47655942055057e-281	0.428528122015861	0.139	0.049	1.86345410843654e-276	6925
RPS14	0	0.427525140351463	0.258	0.127	0	6208
RNF38	2.07143173003645e-288	0.427409972083223	0.366	0.223	7.04825360462201e-284	152006
CTSD	0	0.426553745625305	0.245	0.104	0	1509
IGSF1	0	0.425992168901251	0.147	0.041	0	3547
RPL36	0	0.425918474228574	0.227	0.101	0	25873
ARPC5	0	0.424571946560738	0.187	0.05	0	10092
RPL32	0	0.424152184348994	0.233	0.098	0	6161
SPINK1	0	0.422568904852996	0.123	0.011	0	6690
UCK2	0	0.4223460507096	0.252	0.094	0	7371
EBLN3P	2.15958832773097e-252	0.421423466138377	0.195	0.095	7.3482152439374e-248	100506710
LIMS1	0	0.421194885018776	0.437	0.242	0	3987
GNPAT	0	0.420437663890039	0.303	0.122	0	8443
RPL14	0	0.419912513347156	0.228	0.099	0	9045
SPINK5	0	0.419759499385309	0.126	0.012	0	11005
ZNF544	0	0.41958888694579	0.296	0.122	0	27300
HHAT	0	0.418892323427698	0.324	0.165	0	55733
RPL38	0	0.418483381928252	0.194	0.072	0	6169
KIAA0825	1.88725486492802e-86	0.418331429689311	0.234	0.168	6.42157340340407e-82	285600
SLC16A1-AS1	0	0.417879845556835	0.351	0.178	0	100506392
GNAI1	0	0.417725776157448	0.377	0.213	0	2770
LINC01138	0	0.41764452227366	0.241	0.101	0	388685
ABL2	0	0.416381325246261	0.502	0.298	0	27
RPL37A	0	0.415715155559324	0.285	0.15	0	6168
CACNG4	0	0.415247272145821	0.133	0.018	0	27092
RPL15	0	0.41485315113922	0.2	0.079	0	6138
MAP4K5	0	0.414515582252539	0.289	0.136	0	11183
SYT1	0	0.41417376236966	0.152	0.045	0	6857
PDE4B	5.07581774522351e-242	0.413609770708136	0.186	0.088	1.72709774598975e-237	5142
WASHC5	0	0.413047049470996	0.256	0.096	0	9897
RPL36A	0	0.412245733742753	0.185	0.057	0	6173
PARVB	0	0.412110057016651	0.164	0.04	0	29780
SDC2	2.83744037683418e-286	0.411851342920388	0.667	0.509	9.65467462621599e-282	6383
HLA-A	0	0.411670849393072	0.247	0.117	0	3105
ICA1	6.24860067838705e-287	0.41158722407585	0.3	0.164	2.12614886682798e-282	3382
